Business Name,Address,City,Zip,Instant Sales,Online Sales,Total
KMART GAS #4966,7700 BROOKPARK RD,PARMA,44129,"$96,350.00","$121,276.00","$217,626.00"
GINO'S CENTO ANNO,1314 DENISON AVE,CLEVELAND,44109,$0.00,"$216,809.50","$216,809.50"
TRUE NORTH #308,2310 LEE & ESSEX RDS,CLEVELAND HEIGHTS,44118,"$72,150.00","$144,526.00","$216,676.00"
SPEEDWAY #3346,230 RICHMOND RD,RICHMOND HEIGHTS,44143,"$112,073.00","$104,103.00","$216,176.00"
GILLS BEVERAGE & DELI,13923 PROSPECT RD,STRONGSVILLE,44149,"$138,562.00","$76,497.00","$215,059.00"
SHEETZ #465,6767 RIDGE RD,PARMA,44129,"$146,350.00","$67,674.00","$214,024.00"
DISCOUNT DRUG MART #35,6476 YORK RD,PARMA HEIGHTS,44130,"$162,741.00","$50,867.50","$213,608.50"
RITE STOP,12115 EUCLID AVE,CLEVELAND,44106,"$81,992.00","$131,233.00","$213,225.00"
BROOKLYN PUB & GRILL,6900 BIDDULPH AVE,BROOKLYN,44144,$0.00,"$213,129.00","$213,129.00"
DAVE'S SUPERMARKET #5,3565 RIDGE RD,CLEVELAND,44102,"$118,798.00","$92,991.00","$211,789.00"
MARATHON ON BROOKPARK,13915 BROOKPARK RD,BROOK PARK,44142,"$138,172.00","$73,241.00","$211,413.00"
BOB ADAMS AUTOMOTIVE,700 TURNEY RD,BEDFORD,44146,"$47,233.00","$163,747.00","$210,980.00"
PARMA GAS & FOOD MART,5874 BROADVIEW RD,PARMA,44134,"$126,277.00","$84,366.50","$210,643.50"
CIRCLE K #5253,1480 BROADWAY AVE,BEDFORD,44146,"$104,910.00","$105,566.50","$210,476.50"
GIANT EAGLE #4088,4343 ROYALTON RD,BROADVIEW HEIGHTS,44147,"$124,992.00","$85,341.50","$210,333.50"
SHOP N GO ,25480 AURORA RD,BEDFORD HEIGHTS,44146,"$65,342.00","$144,154.00","$209,496.00"
GASTOWN #3321,27939 CHAGRIN BLVD,BEACHWOOD,44122,"$89,900.00","$119,264.00","$209,164.00"
WOODWARD BEVERAGE & DELI,5661 TURNEY RD,GARFIELD HEIGHTS,44125,"$93,290.00","$114,947.50","$208,237.50"
SWINGING DOOR LOUNGE,21093 CENTER RIDGE RD,ROCKY RIVER,44116,$0.00,"$207,828.50","$207,828.50"
AMYS BEVERAGE & DELI,3133 PAYNE AVE,CLEVELAND,44114,"$64,300.00","$143,521.00","$207,821.00"
VALU-DOLLAR,2180 BROOKPARK RD,CLEVELAND,44134,"$128,772.00","$78,934.00","$207,706.00"
MITCHELLS TAVERN,24282 CENTER RIDGE RD,WESTLAKE,44145,$0.00,"$206,807.00","$206,807.00"
JOE D'S BEVERAGE,5259 WALLINGS RD,NORTH ROYALTON,44133,"$119,836.00","$86,071.50","$205,907.50"
FRANKS MARATHON,11609 MILES AVE,CLEVELAND,44105,"$45,010.00","$160,792.00","$205,802.00"
CHARLIES BEVERAGE,4171 RIDGE RD,BROOKLYN,44144,"$110,200.00","$95,369.00","$205,569.00"
FREEWAY LANES OF SOLON,33185 BAINBRIDGE RD,SOLON,44139,"$27,650.00","$176,415.50","$204,065.50"
LYNDHURST VALERO,5615 MAYFIELD RD,LYNDHURST,44124,"$97,420.00","$106,176.00","$203,596.00"
BLEACHERS SPORTS GRILL,6855 RIDGE ROAD,PARMA,44129,"$15,999.00","$187,145.50","$203,144.50"
E Z SHOP,11521 CLIFTON BLVD,CLEVELAND,44102,"$72,450.00","$130,207.50","$202,657.50"
SPEEDWAY #7690,2726 DOVER CENTER RD,WESTLAKE,44145,"$126,450.00","$76,024.00","$202,474.00"
SLAVIC VILLAGE  BIRITE,6405 FLEET AVE,CLEVELAND,44105,"$94,350.00","$108,036.00","$202,386.00"
EAST CLEVELAND FAMILY FOODS,1325 HAYDEN AVE,EAST CLEVELAND,44112,"$51,626.00","$150,468.50","$202,094.50"
TRUE NORTH #346,27010 CHAGRIN BLVD,BEACHWOOD,44122,"$81,663.00","$120,112.00","$201,775.00"
TRUE NORTH #315,26100 CHAGRIN BLVD & I 271,BEACHWOOD,44122,"$76,638.00","$125,034.50","$201,672.50"
7-ELEVEN FOOD STORE #42,870 E185TH ST,CLEVELAND,44119,"$106,461.00","$93,567.50","$200,028.50"
HOUGH BEAUTY SUPPLY,7102 HOUGH AVE,CLEVELAND,44103,"$37,574.00","$162,286.00","$199,860.00"
GET GO #3431,14013 DETROIT AVE,LAKEWOOD,44107,"$117,650.00","$82,170.50","$199,820.50"
MARC'S #23,15030 PURITAS AVE,CLEVELAND,44135,"$118,265.00","$81,358.00","$199,623.00"
CONVENIENT FOOD MART,4709 CLARK AVE,CLEVELAND,44102,"$113,365.00","$85,740.00","$199,105.00"
EUCLID SHAW SUNOCO FOOD MART,15237 EUCLID AVE,EAST CLEVELAND,44112,"$52,950.00","$145,840.00","$198,790.00"
DPG LOUNGE,18416 ST CLAIR AVE,CLEVELAND,44110,$0.00,"$198,782.50","$198,782.50"
7-ELEVEN #17275,870 E 185TH ST,CLEVELAND,44119,"$92,950.00","$105,611.00","$198,561.00"
MEMPHIS MART,6226 MEMPHIS AVE,CLEVELAND,44144,"$114,750.00","$83,396.00","$198,146.00"
ALMIRA BEVERAGE,3312 W 105TH ST,CLEVELAND,44111,"$105,250.00","$92,615.00","$197,865.00"
WAGON WHEEL PUB,8761 SNOW RD,PARMA HEIGHTS,44130,$0.00,"$197,806.00","$197,806.00"
CARNEGIE BP,900 CARNEGIE AVE,CLEVELAND,44115,"$92,176.00","$105,213.50","$197,389.50"
N & N BEVERAGE,14606 PURITAS AVE,CLEVELAND,44135,"$62,357.00","$134,849.50","$197,206.50"
RITE SHOP FOOD MART,3022 W 25TH ST,CLEVELAND,44113,"$99,487.00","$96,381.00","$195,868.00"
AMERICAN EEE-Z SHOP FOODS,10925 PROSPECT RD,STRONGSVILLE,44149,"$101,127.00","$94,718.00","$195,845.00"
TRUE NORTH #373,13030 BROOKPARK RD,CLEVELAND,44135,"$108,000.00","$87,213.50","$195,213.50"
CIRCLE K #5621,5270 NORTHFIELD RD,MAPLE HEIGHTS,44137,"$57,350.00","$137,801.00","$195,151.00"
HAYDEN GAS & GO,1390 HAYDEN AVE,EAST CLEVELAND,44112,"$35,178.00","$159,954.50","$195,132.50"
MARC'S #13,21661 CENTER RIDGE RD,ROCKY RIVER,44116,"$112,238.00","$82,675.50","$194,913.50"
MARC'S #15,6231 SOM CENTER RD,SOLON,44139,"$104,306.00","$90,378.00","$194,684.00"
ST. CLAIR BP,5510 ST CLAIR AVE,CLEVELAND,44103,"$61,809.00","$132,743.50","$194,552.50"
BEVERAGE HOUSE,5347 PEARL RD,PARMA,44129,"$88,340.00","$106,164.00","$194,504.00"
HAYDEN FOOD PLUS,1730 HAYDEN AVE,EAST CLEVELAND,44112,"$44,101.00","$149,993.50","$194,094.50"
UNION HOUSE,2713 BROOKPARK RD,PARMA,44134,$0.00,"$193,903.00","$193,903.00"
RED APPLE SUPER MARKET,422 EDDY RD,CLEVELAND,44108,"$35,079.00","$158,782.50","$193,861.50"
CIRCLE K #5589,7498 BROADVIEW RD,PARMA,44134,"$136,500.00","$57,260.50","$193,760.50"
TRUE NORTH #418,1000 ROYALTON RD,BROADVIEW HEIGHTS,44147,"$119,150.00","$74,512.00","$193,662.00"
