 Business_Name ,Address,City,Zip,Instant_Sales,Online_Sales,Total,total income,avg income
LOUS BUY WISE ,3250 SUPERIOR AVE,CLEVELAND,44114,61373,178929.5,240302.5,,
CONVENIENT FOOD MART,27340 W OVIATT RD,BAY VILLAGE,44140,132545,107695,240240,,
MADISON BI0RITE,12503 MADISON AVE,LAKEWOOD,44107,175570,64645,240215,,
TRICIA'S LITTLE BEVERAGE,5600 COLUMBIA RD,NORTH OLMSTED,44070,128744,111126,239870,,
MARC'S #04,26393 GREAT NORTHERN BLVD,NORTH OLMSTED,44070,149745,90121,239866,,
NEIGHBOR'S CHOICE,525 E 185TH ST,CLEVELAND,44119,91207,148194.5,239401.5,,
MARC'S #41,16224 PEARL RD,STRONGSVILLE,44136,141687,97105.5,238792.5,,
TRUE NORTH #311,5567 WILSON MILLS RD,RICHMOND HEIGHTS,44143,113500,124253.5,237753.5,,
SUNOCO FAMILY FOODS EXPRESS,3363 E 93RD ST,CLEVELAND,44104,63403,174311,237714,,
GUNSELMAN'S TAVERN,21490 LORAIN RD,FAIRVIEW PARK,44126,2000,235279,237279,,
MOLLY MCGHEES SPORTS PUB,13169 PROSPECT RD,STRONGSVILLE,44149,39936,196058,235994,,
GEORGE'S DELI,3001 E RIDGEWOOD DR,SEVEN HILLS,44131,161250,74602,235852,,
PEARL & BRADLEY SUNOCO,5385 PEARL RD,PARMA,44129,142198,93318,235516,,
CIRCLE K #5246,9080 PEARL RD,STRONGSVILLE,44136,155450,79413.5,234863.5,,
MAPLE SHELL,5300 WARRENSVILLE CENTER RD,MAPLE HEIGHTS,44137,101278,132204,233482,,
PIT STOP,4411 CLARK AVE,CLEVELAND,44109,109700,123265.5,232965.5,,
AMERICAN LEGION PARMA HTS POST #703,7667 YORK RD,PARMA,44130,0,232873,232873,,
FREEWAY SUNOCO,15504 WATERLOO RD,CLEVELAND,44110,49222,183143,232365,,
EDDYS MINI MART,907 E 105 ST,CLEVELAND,44108,41911,190305,232216,,
FRIENDLY MINI MART,16708 DETROIT AVE,LAKEWOOD,44107,117721,114263,231984,,
SCOTT'S GROCERY,951 LINN DR,CLEVELAND,44108,39979,191601,231580,,
ONE STOP SUNOCO III,11209 STATE RD,NORTH ROYALTON,44133,162120,69414.5,231534.5,,
DELI 4 LESS FOOD STORES,7893 W 130TH ST,CLEVELAND,44130,126244,104071,230315,,
CLAGUE SHELL,23696 CENTER RIDGE RD,WESTLAKE,44145,138786,90733.5,229519.5,,
SHEETZ #422,21034 ROYALTON RD,STRONGSVILLE,44149,151108,78219,229327,,
CIRCLE0K #5689,29605 AURORA RD,SOLON,44139,88790,140253,229043,,
TONY K'S BAR & GRILLE,841 W BAGLEY RD,BEREA,44017,0,228759,228759,,
RED CIRCLE BAR & LANES,6056 STATE RD,PARMA,44134,32675,195983.5,228658.5,,
GAS MART,21820 LAKESHORE BLVD,EUCLID,44123,71790,155841.5,227631.5,,
SNAPPY GAS MART,4189 RIDGE RD,CLEVELAND,44144,142550,84799.5,227349.5,,
IN + OUT FOOD + BEVERAGE,891 LAKEVIEW AVE,CLEVELAND,44108,56840,170185.5,227025.5,,
GET GO #3218,5637 TRANSPORTATION BLVD,GARFIELD HEIGHTS,44125,137617,89278,226895,,
TRUE NORTH #316,6170 SOM CENTER RD,SOLON,44139,95050,131710,226760,,
EDDIES DISCOUNT,2223 NOBLE RD,CLEVELAND HTS,44112,46916,178448.5,225364.5,,
INN CAHOOTS,7525 BROADVIEW RD,SEVEN HILLS,44131,59652,165103.5,224755.5,,
GAS USA,3934 W 117TH ST,CLEVELAND,44111,93252,131467,224719,,
GIANT EAGLE #209,900 NORTHFIELD RD,BEDFORD,44146,99861,124740,224601,,
CHUCKIE MARKET,3661 E 93RD ST,CLEVELAND,44105,53905,170558.5,224463.5,,
EDDY FOOD MART,1031 E 129TH ST,CLEVELAND,44108,37625,186583.5,224208.5,,
THIRST & TEN,15299 SHELDON RD,MIDDLEBURG HEIGHTS,44130,16230,207826.5,224056.5,,
TRUE NORTH #348,6630 RIDGE RD,PARMA,44129,142600,81308.5,223908.5,,
DISCOUNT DRUG MART #17,4170 FULTON RD,BROOKLYN,44144,130150,93197,223347,,
TONYS MARKET,3114 CLARK,CLEVELAND,44109,91310,131840.5,223150.5,,
CIRCLE K #5664,20220 LORAIN RD,FAIRVIEW PARK,44126,125150,97626.5,222776.5,,
ROCKCLIFF MARKET,5417 CHESTER AVE,CLEVELAND,44103,61296,160424,221720,,
DAPPER DAN'S,10929 PROSPECT RD,STRONGSVILLE,44149,13127,208530.5,221657.5,,
GAS USA,2610 NOBLE RD,CLEVELAND,44121,59945,161702,221647,,
CLARK CONVENIENT FOOD PLUS,3315 CLARK AVE,CLEVELAND,44109,78833,141782,220615,,
CONVENIENT FOOD MART #30108,16811 MADISON AVE,LAKEWOOD,44107,120260,100013.5,220273.5,,
ROYAL GAS MART,2850 W 25TH ST,CLEVELAND,44113,141250,78933,220183,,
PARKWOOD DRIVE THRU,11003 SUPERIOR AVE,CLEVELAND,44106,35982,183975,219957,,
